t,x_true,y_true,psi_true,x_dr,y_dr,psi_dr,x_pf,y_pf,psi_pf
49.0,-0.602878264955063,20.75806731651025,-2.8882976018889273,0.28932423242283395,21.868336280061943,-3.06671841672006,-0.1740463018714586,20.90396636052468,-2.958292377529423
50.0,-1.2384530245622845,20.57894889989668,-2.841157978114188,-0.3548476338135636,21.810767487957392,-3.034311362785313,-0.7902937288864269,20.775037371873545,-2.9239187273769396
51.0,-1.873857268775964,20.367608131999532,-2.7956586254562086,-1.0164126016959072,21.727339580679534,-2.9980634756751154,-1.399955171821832,20.5930463702834,-2.8788082805564112
52.0,-2.508751908697512,20.124361779293725,-2.75175300974912,-1.694043336734296,21.61380638106924,-2.9517867478430144,-2.043015143711421,20.391261510045084,-2.828891460198878
53.0,-3.142743867775552,19.849496818769264,-2.7093867907042752,-2.384634626682541,21.468760507192368,-2.9199003767140845,-2.6551800888396553,20.13794895127669,-2.785051834365639
54.0,-3.775372363844228,19.543291039024282,-2.6684980880689566,-3.0495444026259846,21.309707911271374,-2.8920528621454475,-3.280415811019567,19.883359050937727,-2.754772205044629
55.0,-4.40609874381918,19.20603292990545,-2.62901778471582,-3.731047295569984,21.125047582465776,-2.8578793557665296,-3.9071567045105295,19.57173060307436,-2.706535183408461
56.0,-5.034299467176019,18.83804025704448,-2.5908698651785502,-4.4241652582480535,20.916134827550152,-2.838820285843741,-4.560963844397845,19.23528788335287,-2.6787747467152165
57.0,-5.659261819321652,18.439676870727467,-2.553971787975577,-5.133307389095893,20.685831515302155,-2.814386891480948,-5.208194829960463,18.870111143456132,-2.643313648410791
58.0,-6.2801819498735085,18.011367441298137,-2.518234889898211,-5.842160180142903,20.43644721513,-2.787841933677732,-5.847597924971546,18.44621168080411,-2.596309443435515
59.0,-6.896164866594642,17.55360994144002,-2.483564820282992,-6.550188876390027,20.16604792857405,-2.759615728449936,-6.4673551191383645,18.02444677423304,-2.555944131045175
60.0,-7.506226066264602,17.06698580651191,-2.449862003141196,-7.258333283814809,19.875586429534817,-2.7445372075011916,-7.072331880131296,17.59267615718679,-2.5315811669912796
