seed,budget,policy,pair,exchanges
9,720,cyclic,1-2,120
9,720,cyclic,1-3,120
9,720,cyclic,1-4,120
9,720,cyclic,2-3,120
9,720,cyclic,2-4,120
9,720,cyclic,3-4,120
9,720,random,1-2,133
9,720,random,1-3,102
9,720,random,1-4,130
9,720,random,2-3,137
9,720,random,2-4,103
9,720,random,3-4,115
9,720,geometry,1-2,111
9,720,geometry,1-3,130
9,720,geometry,1-4,116
9,720,geometry,2-3,114
9,720,geometry,2-4,112
9,720,geometry,3-4,137
9,720,information,1-2,103
9,720,information,1-3,142
9,720,information,1-4,134
9,720,information,2-3,94
9,720,information,2-4,91
9,720,information,3-4,156
10,180,cyclic,1-2,30
10,180,cyclic,1-3,30
10,180,cyclic,1-4,30
10,180,cyclic,2-3,30
10,180,cyclic,2-4,30
10,180,cyclic,3-4,30
10,180,random,1-2,26
10,180,random,1-3,34
10,180,random,1-4,28
10,180,random,2-3,39
10,180,random,2-4,25
10,180,random,3-4,28
10,180,geometry,1-2,29
10,180,geometry,1-3,32
10,180,geometry,1-4,28
10,180,geometry,2-3,29
10,180,geometry,2-4,29
10,180,geometry,3-4,33
10,180,information,1-2,27
10,180,information,1-3,35
10,180,information,1-4,32
10,180,information,2-3,23
10,180,information,2-4,28
10,180,information,3-4,35
10,360,cyclic,1-2,60
10,360,cyclic,1-3,60
10,360,cyclic,1-4,60
10,360,cyclic,2-3,60
10,360,cyclic,2-4,60
10,360,cyclic,3-4,60
10,360,random,1-2,60
10,360,random,1-3,73
10,360,random,1-4,63
10,360,random,2-3,67
10,360,random,2-4,46
10,360,random,3-4,51
10,360,geometry,1-2,57
10,360,geometry,1-3,64
10,360,geometry,1-4,58
10,360,geometry,2-3,59
10,360,geometry,2-4,55
10,360,geometry,3-4,67
10,360,information,1-2,51
10,360,information,1-3,71
10,360,information,1-4,67
10,360,information,2-3,45
10,360,information,2-4,52
10,360,information,3-4,74
10,720,cyclic,1-2,120
10,720,cyclic,1-3,120
10,720,cyclic,1-4,120
10,720,cyclic,2-3,120
10,720,cyclic,2-4,120
10,720,cyclic,3-4,120
10,720,random,1-2,129
10,720,random,1-3,113
10,720,random,1-4,120
10,720,random,2-3,129
10,720,random,2-4,116
10,720,random,3-4,113
10,720,geometry,1-2,110
10,720,geometry,1-3,131
10,720,geometry,1-4,116
10,720,geometry,2-3,114
10,720,geometry,2-4,112
10,720,geometry,3-4,137
10,720,information,1-2,103
10,720,information,1-3,144
10,720,information,1-4,135
10,720,information,2-3,92
10,720,information,2-4,92
10,720,information,3-4,154
11,180,cyclic,1-2,30
11,180,cyclic,1-3,30
11,180,cyclic,1-4,30
11,180,cyclic,2-3,30
11,180,cyclic,2-4,30
11,180,cyclic,3-4,30
11,180,random,1-2,32
11,180,random,1-3,30
11,180,random,1-4,25
11,180,random,2-3,30
11,180,random,2-4,38
11,180,random,3-4,25
11,180,geometry,1-2,28
11,180,geometry,1-3,32
11,180,geometry,1-4,29
11,180,geometry,2-3,29
11,180,geometry,2-4,28
11,180,geometry,3-4,34
11,180,information,1-2,26
11,180,information,1-3,36
11,180,information,1-4,31
11,180,information,2-3,23
11,180,information,2-4,29
11,180,information,3-4,35
11,360,cyclic,1-2,60
11,360,cyclic,1-3,60
11,360,cyclic,1-4,60
11,360,cyclic,2-3,60
11,360,cyclic,2-4,60
11,360,cyclic,3-4,60
11,360,random,1-2,65
11,360,random,1-3,57
11,360,random,1-4,55
11,360,random,2-3,58
11,360,random,2-4,71
11,360,random,3-4,54
11,360,geometry,1-2,55
11,360,geometry,1-3,66
11,360,geometry,1-4,56
11,360,geometry,2-3,57
11,360,geometry,2-4,57
11,360,geometry,3-4,69
11,360,information,1-2,51
11,360,information,1-3,72
11,360,information,1-4,66
11,360,information,2-3,46
11,360,information,2-4,51
11,360,information,3-4,74
11,720,cyclic,1-2,120
11,720,cyclic,1-3,120
11,720,cyclic,1-4,120
11,720,cyclic,2-3,120
11,720,cyclic,2-4,120
11,720,cyclic,3-4,120
11,720,random,1-2,120
11,720,random,1-3,118
11,720,random,1-4,107
11,720,random,2-3,129
11,720,random,2-4,120
11,720,random,3-4,126
11,720,geometry,1-2,112
11,720,geometry,1-3,129
11,720,geometry,1-4,116
11,720,geometry,2-3,114
11,720,geometry,2-4,111
11,720,geometry,3-4,138
11,720,information,1-2,102
11,720,information,1-3,145
11,720,information,1-4,133
11,720,information,2-3,91
11,720,information,2-4,95
11,720,information,3-4,154
12,180,cyclic,1-2,30
12,180,cyclic,1-3,30
12,180,cyclic,1-4,30
12,180,cyclic,2-3,30
12,180,cyclic,2-4,30
12,180,cyclic,3-4,30
12,180,random,1-2,23
12,180,random,1-3,33
12,180,random,1-4,30
12,180,random,2-3,27
12,180,random,2-4,32
12,180,random,3-4,35
12,180,geometry,1-2,27
12,180,geometry,1-3,33
12,180,geometry,1-4,28
12,180,geometry,2-3,29
12,180,geometry,2-4,29
12,180,geometry,3-4,34
12,180,information,1-2,26
12,180,information,1-3,36
12,180,information,1-4,33
12,180,information,2-3,22
12,180,information,2-4,28
12,180,information,3-4,35
12,360,cyclic,1-2,60
12,360,cyclic,1-3,60
12,360,cyclic,1-4,60
12,360,cyclic,2-3,60
12,360,cyclic,2-4,60
