seed,budget,communication_ratio,policy,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
3,360,0.1,geometry,1.4406066488008196,1.4561224716485375,1.4391463037117327,0.06484931057447418,0.034793166908454645,1.866309540999282,1.4561224716485375,1.4371563366186564,1.4324104628507326,1.4366208072658788
3,360,0.1,information,1.4362059896678996,1.4535203190036343,1.4341662176121808,0.07651735109059998,0.05770275139889175,2.0238050580010167,1.450280382636824,1.4311376022910742,1.4094542334970348,1.4535203190036343
3,720,0.2,cyclic,1.444127940245338,1.4708291010513463,1.442069554648404,0.07707728169439265,0.052746872919715526,1.805752571000994,1.4708291010513463,1.429609632230225,1.417174497238117,1.4582580466096913
3,720,0.2,random,1.4418141931622144,1.4610333011107304,1.4399276429529366,0.07373296863687956,0.04847927446980802,1.835584189000656,1.4610333011107304,1.4365104461518585,1.4127081602113305,1.456498457132861
3,720,0.2,geometry,1.4391085208692804,1.4808171541796622,1.4373150399831076,0.07182486113405115,0.03955649370455426,2.122206645000915,1.4808171541796622,1.444626018078112,1.3948363403566453,1.43485230834179
3,720,0.2,information,1.437966134409928,1.4543810687371401,1.4364654328464326,0.06567848922700839,0.04854160666405732,2.6558632260002923,1.448386674794065,1.4417898927367534,1.4068333473512302,1.4543810687371401
4,180,0.05,cyclic,0.39925241237102194,0.46422894166703177,0.3667721170780565,0.15773618138575882,0.06206464224800956,2.222022943000411,0.3703611681214913,0.33037700009129334,0.41926732261576494,0.46422894166703177
4,180,0.05,random,0.38998872584904665,0.4512632341490427,0.36648794335492674,0.13333339290979918,0.07884273154789913,2.182149734999257,0.36304294623850486,0.35158465109140385,0.3864121775594034,0.4512632341490427
4,180,0.05,geometry,0.40088168152130105,0.4656469956986308,0.3659556656347462,0.1636538217371527,0.06607475901492765,2.5199857740008156,0.37287214241455274,0.35426222781679584,0.4018233505754544,0.4656469956986308
4,180,0.05,information,0.40057626436569105,0.4495514532838229,0.3699212565963642,0.1536867186562941,0.06047818345401134,2.504928745000143,0.3753579994950589,0.33306027733111043,0.4335044279154274,0.4495514532838229
4,360,0.1,cyclic,0.39338940027979985,0.4368508317458785,0.37140293737438845,0.12967296696758593,0.07406299576181234,2.4513839459996234,0.3693451509726526,0.3569940398723931,0.40536606513312523,0.4368508317458785
4,360,0.1,random,0.3947452754196668,0.43607155932493935,0.3671500652043431,0.1449988347766807,0.0746744542566745,1.7430568210002093,0.36180913856816643,0.38899969448501787,0.3884717621032897,0.43607155932493935
4,360,0.1,geometry,0.38832475351922574,0.4138500913887741,0.370379182076038,0.11668494196104538,0.06541957690313875,2.5229541689986945,0.37879260952261296,0.36694033448763297,0.3921524047328105,0.4138500913887741
4,360,0.1,information,0.38528233890784314,0.4165865106011238,0.3694357971223597,0.10936028748528763,0.07820062215818187,2.7753141330013023,0.36107896459385774,0.3637513222569831,0.39690371473002783,0.4165865106011238
4,720,0.2,cyclic,0.37917273272944385,0.39405558119512285,0.3695515781538573,0.08487397910730791,0.06707488495693582,2.665097880999383,0.37449184794914475,0.3721574599305712,0.39405558119512285,0.3755831795337639
4,720,0.2,random,0.3809233525909281,0.4031601554634026,0.3718607765000918,0.0825963888427412,0.06253147086109373,2.285249238999313,0.37203664714077267,0.3606189806513384,0.4031601554634026,0.3865423330263025
4,720,0.2,geometry,0.37891622141922554,0.4079554271362586,0.36788037941871427,0.09078286894214327,0.06228405312115122,2.3695475130007253,0.3513212867527925,0.3528138170675933,0.3999726801284353,0.4079554271362586
4,720,0.2,information,0.37751818778936763,0.3892658912194073,0.36732304943080396,0.0871421796182732,0.06969914090622897,2.8455571470003633,0.36968262780682654,0.3643853481461191,0.3892658912194073,0.3861477270870619
5,180,0.05,cyclic,1.2054320458198906,1.223546137714977,1.200361802955936,0.11044437103764829,0.07998735424025649,2.2450150399999984,1.1945937504339812,1.223546137714977,1.2165860259467762,1.18661903327731
5,180,0.05,random,1.2066989534238057,1.241159425456019,1.2009319561708247,0.11783378480649857,0.06752970632213431,1.9683407789998455,1.2078923150819685,1.241159425456019,1.227914710289943,1.1477083064949938
5,180,0.05,geometry,1.2078203669986796,1.2259864488338414,1.2028347409760944,0.1096294889060292,0.07158549447178561,2.059797679999974,1.198718031658657,1.2259864488338414,1.2066035514081872,1.1997751178152654
