geometry,time_s,obs_sigma_ratio,position_error_mean_m
constant_bearing,42.0,1.779611861410602e-17,3.707719173913117
constant_bearing,43.0,1.8471452362046388e-17,3.6149108216820194
constant_bearing,44.0,4.13472726357639e-17,3.605021014880412
constant_bearing,45.0,4.692662997224295e-18,3.5927196067472984
constant_bearing,46.0,4.76821638507985e-17,3.624891648568023
constant_bearing,47.0,1.0695123018618016e-17,3.639325681547006
constant_bearing,48.0,4.299336020209271e-18,3.7585238904933886
constant_bearing,49.0,1.4549844714790742e-17,3.8446850379549367
constant_bearing,50.0,1.8661121716705648e-17,3.9550084327464
constant_bearing,51.0,8.545455236919187e-18,3.9552074318579726
constant_bearing,52.0,1.907564894012348e-17,3.93365590700916
constant_bearing,53.0,2.063893491479625e-18,3.9645961812983104
constant_bearing,54.0,2.0500903493695845e-17,3.948676490388917
constant_bearing,55.0,2.0029259583081156e-17,4.005645054810161
constant_bearing,56.0,7.325455058963669e-18,4.059227378571085
constant_bearing,57.0,1.2715305880331493e-17,4.136567237254743
constant_bearing,58.0,9.067736754846068e-18,4.293936733645266
constant_bearing,59.0,2.0227744252009852e-17,4.642168126216287
constant_bearing,60.0,1.7402459181317398e-17,4.509830970113561
moving,0.0,0.0,8.944455410287862
moving,1.0,7.104553617552348e-09,5.911212880188463
moving,2.0,8.158742138998976e-08,5.254150929723879
moving,3.0,3.078201298921458e-07,4.67975107545807
moving,4.0,7.686181987690489e-07,3.120145291092673
moving,5.0,1.5502373862716895e-06,2.0856047145984133
moving,6.0,2.73802275859769e-06,2.376671743355268
moving,7.0,4.403595960972049e-06,3.1025717827433708
moving,8.0,6.5756870378185336e-06,3.760547712639221
moving,9.0,9.187154823930176e-06,4.179166145127686
moving,10.0,1.2021982769992728e-05,4.378249860495492
moving,11.0,1.47268208456148e-05,4.475718820240794
moving,12.0,1.6914331140005262e-05,4.631011564375161
moving,13.0,1.830490553583427e-05,4.821915357741922
moving,14.0,1.8792456828209086e-05,5.212861363306873
moving,15.0,1.840109564860204e-05,5.5855655132485085
