rate_hz,time_s,mean_fleet_rms_error_m,std_fleet_rms_error_m,p95_fleet_rms_error_m,mean_centroid_error_m,std_centroid_error_m,p95_centroid_error_m,mean_shape_rms_error_m,std_shape_rms_error_m,p95_shape_rms_error_m
0,9.8,0.6465117,0.1783306,0.9252224,0.3003055,0.1249379,0.4629254,0.5603894,0.17514,0.8122858
0,9.9,0.6531412,0.1800992,0.9345532,0.3033814,0.1262051,0.4676615,0.5661484,0.176849,0.8204439
0,10,0.6597729,0.1818699,0.9439327,0.3064589,0.1274764,0.4724345,0.5719081,0.1785597,0.8286373
0,10.1,0.6664109,0.1836405,0.9533216,0.3095494,0.1287489,0.4772108,0.577668,0.1802706,0.8368395
0,10.2,0.67306,0.1854104,0.9627424,0.312657,0.1300176,0.48201,0.5834309,0.1819846,0.8450656
0,10.3,0.6797055,0.1871741,0.9721539,0.3157637,0.1312838,0.4867935,0.58919,0.1836953,0.8532901
0,10.4,0.6863528,0.188935,0.9815368,0.3188788,0.1325457,0.4915467,0.5949464,0.1854068,0.8614988
0,10.5,0.6930001,0.1906917,0.9909028,0.3219965,0.1338147,0.4963382,0.6006996,0.1871152,0.8696681
0,10.6,0.6996447,0.1924514,1.000239,0.3251154,0.1350844,0.5011288,0.6064497,0.1888239,0.8778031
0,10.7,0.7062838,0.1942103,1.009567,0.3282268,0.1363504,0.5059276,0.6121986,0.1905305,0.8859244
0,10.8,0.7129298,0.195967,1.018911,0.3313377,0.1376244,0.510747,0.6179548,0.1922324,0.8940533
0,10.9,0.7195848,0.1977235,1.028312,0.3344506,0.1388994,0.5156067,0.6237202,0.1939333,0.9022233
0,11,0.726241,0.1994795,1.037713,0.3375637,0.1401765,0.5204513,0.6294861,0.1956354,0.9104027
0,11.1,0.7329014,0.2012402,1.047128,0.3406771,0.1414572,0.525304,0.6352547,0.1973461,0.9185923
0,11.2,0.739554,0.2030011,1.056517,0.343786,0.142737,0.5301306,0.6410164,0.1990586,0.9267663
0,11.3,0.7462033,0.2047587,1.065913,0.3468887,0.1440294,0.5349515,0.6467756,0.2007656,0.9349531
0,11.4,0.752851,0.206506,1.07531,0.3499807,0.1453238,0.5397308,0.6525377,0.2024638,0.9431638
0,11.5,0.759494,0.2082481,1.084681,0.353065,0.1466166,0.5444856,0.6582992,0.204156,0.9513582
0,11.6,0.7661368,0.2099882,1.094039,0.3561509,0.14791,0.5492528,0.6640598,0.2058452,0.9595298
0,11.7,0.7727746,0.2117292,1.103372,0.3592312,0.1492073,0.5539932,0.6698163,0.2075364,0.9676893
0,11.8,0.779415,0.2134804,1.112675,0.3623091,0.1505061,0.5587068,0.6755777,0.2092353,0.9758299
0,11.9,0.7860515,0.2152327,1.121996,0.3653851,0.1518061,0.5634339,0.6813367,0.2109302,0.983984
0,12,0.7926945,0.2169969,1.131338,0.3684594,0.1531201,0.5681708,0.6871017,0.2126357,0.9921588
0,12.1,0.799336,0.2187716,1.140673,0.3715268,0.154438,0.5728697,0.6928677,0.2143526,1.000347
0,12.2,0.8059735,0.2205587,1.149997,0.3745936,0.1557624,0.5775611,0.6986297,0.216076,1.008527
0,12.3,0.8126099,0.2223565,1.159331,0.3776594,0.1570882,0.5822439,0.7043915,0.217808,1.016723
0,12.4,0.8192435,0.2241523,1.168687,0.3807283,0.1584103,0.5869347,0.7101498,0.2195356,1.024941
0,12.5,0.8258627,0.2259345,1.178015,0.3837848,0.1597303,0.5915849,0.715899,0.2212479,1.033149
