seed,rate_hz,uwb_exchanges,communication_ratio,fleet_rmse_m,worst_node_rmse_m,centroid_rmse_m,relative_shape_rmse_m,yaw_rmse_deg,runtime_s,node1_rmse_m,node2_rmse_m,node3_rmse_m,node4_rmse_m
15,0.5,180,0.05,0.8344627489033173,0.8607062302436722,0.8265475224525418,0.1146615560458061,0.05942126522074839,2.329651370004285,0.8119778450221148,0.8296724343653511,0.834765076711025,0.8607062302436722
15,1.0,360,0.1,0.8361024198354637,0.8549055669222684,0.8298793844285495,0.10182074324620656,0.06613162664240284,2.264520368000376,0.8151304817598509,0.8549055669222684,0.8342442522424262,0.8396453553558276
15,2.0,720,0.2,0.8360370134034449,0.850967893656953,0.8342099660960464,0.05524147216164042,0.05574901767415736,2.35288385199965,0.8259084758385431,0.850967893656953,0.8379877655229752,0.8290578323971898
15,5.0,1800,0.5,0.8340896724730645,0.8448027544018729,0.8330441514238114,0.04174953298907618,0.06386503627791643,2.747213467999245,0.8339070133774383,0.8448027544018729,0.8358720339289296,0.8216128461722955
15,10.0,3600,1.0,0.8338895002694479,0.8345485764106609,0.8332709833577049,0.032111788391696684,0.057101997225199715,2.8265868210000917,0.8334295462390596,0.8338102553693558,0.8345485764106609,0.8337692233142819
16,0.0,0,0.0,1.929807488959068,2.966477657437607,0.9893089685814151,1.656932318812956,0.050627981921900794,2.9111278659984237,0.9794592381707712,2.966477657437607,1.617209149224715,1.5880592728608365
16,0.5,180,0.05,0.9945066753138896,1.0051995419473292,0.9909030814855714,0.08458492978235141,0.06236185906213826,2.912254891001794,1.0051995419473292,0.995442716140251,1.000824673648007,0.9763154005469266
16,1.0,360,0.1,0.9957364328448433,1.0110823054463234,0.992581151878117,0.07920669561901485,0.07613144392779532,2.7527435650044936,0.9885935784201452,0.9991081438927616,1.0110823054463234,0.9839422746814205
16,2.0,720,0.2,0.9940870542396599,1.0046895671882738,0.992091144461957,0.06296215122634014,0.07559931204331283,2.6457225359990844,0.9945170730148545,0.9971656111523987,1.0046895671882738,0.9798120710766983
16,5.0,1800,0.5,0.9905959808012761,0.9966881379247015,0.9891406859283777,0.053675884909152705,0.05928786357416305,2.727504898997722,0.9848334383682499,0.98762091025411,0.9931980571564647,0.9966881379247015
16,10.0,3600,1.0,0.993259307365962,1.0011557671149072,0.992323830893105,0.04309833303902413,0.07073021437205472,2.841432495995832,0.9830439984895114,1.0011557671149072,0.9952928698796248,0.9934585732930864
17,0.0,0,0.0,3.0352821838503328,3.642007141425323,1.1857848086836698,2.794074502065805,0.02465528616483776,2.5048064930015244,3.3799859583609777,2.4626552883574533,3.642007141425323,2.4695261845567855
17,0.5,180,0.05,1.1886549755788733,1.2183840884500772,1.1805776435930742,0.13833682957418086,0.03192840329667863,2.495770071000152,1.1402317246868676,1.2000371891596116,1.1945397337622696,1.2183840884500772
17,1.0,360,0.1,1.1846287496878523,1.2071143210516686,1.1812248695069787,0.08973896726186095,0.029906365536020014,2.370003194999299,1.1474804439843713,1.189945173586336,1.2071143210516686,1.1931367183990265
17,2.0,720,0.2,1.1837283369154172,1.1948303078059408,1.1816046056213418,0.070875465366886,0.04035701629283219,2.3327076640052837,1.1582117866812243,1.1898929457037093,1.1948303078059408,1.1916089429723786
17,5.0,1800,0.5,1.1837976998265203,1.2120209356852139,1.1821973538045514,0.06153381811716336,0.03650111416026341,2.5757721689951723,1.1682376568967356,1.1806013537704947,1.2120209356852139,1.1738460071076948
17,10.0,3600,1.0,1.183811859604837,1.1995384698559721,1.1829437787705301,0.04532698102853514,0.03564139124580658,2.9250739260023693,1.1736167656955583,1.1823914602457126,1.1995384698559721,1.1795438343343396
18,0.0,0,0.0,1.9172170191309015,2.4831479131050034,0.8694429934341177,1.7087392953910496,0.0579587509598278,2.3052555969989044,1.825465894839018,2.251880283964344,0.36547269240701835,2.4831479131050034
18,0.5,180,0.05,0.8778473747288322,0.8982590511428213,0.8709264149608748,0.11001451286853513,0.05625451021453358,2.15927877699869,0.8982590511428213,0.8939310156810873,0.8646669589276925,0.8537172363583416
18,1.0,360,0.1,0.8750205756186094,0.8914386565274579,0.8723705174459712,0.06804915904675717,0.06526829766475502,2.2768977739979164,0.8657580947637571,0.887378237450981,0.8914386565274579,0.8549876827894236
18,2.0,720,0.2,0.8720799296228444,0.8827444114041723,0.8704965661786666,0.0525274397066482,0.05832985945192588,2.400924544999725,0.8743265815180649,0.8827444114041723,0.8625892789959414,0.8685324883680741
18,5.0,1800,0.5,0.8707351632569039,0.8795401384147442,0.8695105362037382,0.04616440146601025,0.0687052794974579,2.43297370000073,0.8609228375540359,0.8795401384147442,0.8712187526069021,0.8711588809909846
18,10.0,3600,1.0,0.870187824578735,0.8777061019323578,0.8692528136124776,0.04032860116421923,0.06479902851913405,2.6889653600010206,0.8644346900078972,0.8777061019323578,0.8693355745066166,0.8692224826931207
19,0.0,0,0.0,3.2235424801713384,4.589395041708776,1.6032719462215508,2.7965595269774153,0.034283604755993645,2.4467085090000182,3.2709992548902402,4.589395041708776,1.363027309827911,2.818701485469228
19,0.5,180,0.05,1.6104086244735496,1.635442764457348,1.6058568097092458,0.12099522506790626,0.044754917601909784,2.387845734003349,1.6300662847217116,1.5903589224799144,1.635442764457348,1.5851287393777704
19,1.0,360,0.1,1.6066763686984846,1.644521871516755,1.6042586288823024,0.08810905396623095,0.04633173187485881,2.2064937009999994,1.6168207561079864,1.5795827572796723,1.644521871516755,1.5849266811315788
19,2.0,720,0.2,1.602039841029128,1.6283941004151776,1.6004205260059423,0.07201244464324986,0.03737532330332029,2.494616993004456,1.6042012141728665,1.5866397758507638,1.6283941004151776,1.5885754463814776
19,5.0,1800,0.5,1.604731534501322,1.6323061950403113,1.603222051728236,0.06958700076359847,0.04266857222949145,2.8170081439966452,1.6110192617840122,1.5961467014191166,1.6323061950403113,1.578975086134884
19,10.0,3600,1.0,1.604539950147931,1.62780361170368,1.603516539212863,0.05729886640701098,0.04419026733155008,3.0483418200019514,1.6079377950378066,1.5928350093818398,1.62780361170368,1.5892960354773034
